stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, wheelchair_boarding
RIVERGROVE, River Grove, , 41.9311111, -87.8361111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.RIVERGROVE.html, 1
ELMWOODPK, Elmwood Park, , 41.9247222, -87.8147222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ELMWOODPK.html, 1
RIVERDALE, Riverdale, , 41.6466667, -87.6233333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.RIVERDALE.html, 0
IVANHOE, Ivanhoe, , 41.6333333, -87.6302778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.IVANHOE.html, 1
147TH-UP, 147th St., , 41.6227778, -87.6361111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.147TH-UP.html, 0
HARVEY, Harvey, , 41.6083333, -87.6438889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.HARVEY.html, 1
HAZELCREST, Hazel Crest, , 41.5808333, -87.6586111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.HAZELCREST.html, 0
MILLENNIUM, Millennium Station, , 41.8841667, -87.6230556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MILLENNIUM.html, 1
VANBUREN, Van Buren St., , 41.8769444, -87.6230556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.VANBUREN.html, 1
MUSEUM, Museum Campus/11th St., , 41.8686111, -87.6213889, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MUSEUM.html, 1
18TH-UP, 18th St., , 41.8583333, -87.6180556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.18TH-UP.html, 0
MCCORMICK, McCormick Place, , 41.8513889, -87.6163889, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MCCORMICK.html, 1
27TH-UP, 27th St., , 41.8441667, -87.6133333, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.27TH-UP.html, 0
75TH-UP, 75th St. (Grand Crossing), , 41.7588889, -87.5952778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.75TH-UP.html, 0
79TH-UP, 79th St. (Chatham), , 41.7508333, -87.5972222, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.79TH-UP.html, 1
83RD-UP, 83rd St. (Avalon Park), , 41.7441667, -87.5986111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.83RD-UP.html, 0
87TH-UP, 87th St. (Woodruff), , 41.7369444, -87.6002778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.87TH-UP.html, 0
91ST-UP, 91st St., , 41.7294444, -87.6019444, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.91ST-UP.html, 0
95TH-UP, 95th St., , 41.7219444, -87.6038889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.95TH-UP.html, 0
103RD-UP, 103rd St. (Rosemoor), , 41.7069444, -87.6072222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.103RD-UP.html, 0
107TH-UP, 107th St., , 41.6997222, -87.6088889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.107TH-UP.html, 0
111TH-UP, 111th St. (Pullman), , 41.6927778, -87.6105556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.111TH-UP.html, 0
STONYISLND, Stony Island, , 41.7661111, -87.5869444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.STONYISLND.html, 1
BRYNMAWR, Bryn Mawr, , 41.7661111, -87.5766667, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.BRYNMAWR.html, 1
SOUTHSHORE, South Shore, , 41.7652778, -87.5658333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.SOUTHSHORE.html, 1
WINDSORPK, Windsor Park, , 41.7586111, -87.5594444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.WINDSORPK.html, 1
79TH-SC, Cheltenham (79th St.), , 41.7522222, -87.5525000, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.79TH-SC.html, 1
83RD-SC, 83rd St., , 41.7450000, -87.5516667, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.83RD-SC.html, 1
87TH-SC, 87th St., , 41.7377778, -87.5483333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.87TH-SC.html, 1
93RD-SC, South Chicago (93rd), , 41.7266667, -87.5477778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.93RD-SC.html, 1
LSS, LaSalle Street, , 41.8763889, -87.6322222, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.LSS.html, 1
